Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,billing_claude,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'restore my access',product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,screen,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'review my answers',product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,dispute_resolution,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'ban the seller',product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,interview,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'give me the refund',bug
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing_hackerrank,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'give me my money',bug
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,billing_hackerrank,HackerRank integrates with InteviewPlanner to enable recruiters for initiating and conducting online interviews with Candidates located remotely. The integration allows for a seamless Candidate assessment process in the InteviewPlanner hiring workflow. HackerRank Interview includes an in-built code editor that facilitates a collaborative coding experience for interviewers and their candidates.,Answered using corpus content from '2686193421 best practices for running group assessments in hackerrank desktop app mode' (domain: hackerrank). Top retrieval score: 1.003.,product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,skillup,What type of license do I need in HackerRank to use the integration?,Answered using corpus content from '6599779249 teamtailor   hackerrank integration%3A user guide' (domain: hackerrank). Top retrieval score: 0.281.,bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,replied,skillup,Note: Please refer to the Test Cases in your Coding Question to understand the usage of Test cases while creating coding questions for HackerRank Tests.,Answered using corpus content from '7992263058 weekly challenges' (domain: hackerrank). Top retrieval score: 0.612.,bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,screen,"Note: These notifications are only visible to the person who is facing the problem with their internet connection, while the others in the interview can monitor each other's network strength via signal bars on the top right corner.",Answered using corpus content from '6375174017 network monitoring in hackerrank interviews' (domain: hackerrank). Top retrieval score: 0.819.,bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,screen,Thank you for reaching out. Your request requires attention from a human support agent and has been escalated accordingly. A member of our team will follow up with you shortly.,Request requires human action: 'rescheduling',feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,replied,interview,"Tip: With the candidate lobby, you can set up your interview questions ahead of the interview time and not worry about the questions being leaked to the candidate before the interview.",Answered using corpus content from '7355624862 create custom reports' (domain: hackerrank). Top retrieval score: 1.762.,product_issue
